GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
NanoHttpd-Websocket,org.nanohttpd.protocols.websockets,WebSocketFrame,281,637,33,63,49,130,30,48,4,26
NanoHttpd-Websocket,org.nanohttpd.protocols.websockets,WebSocketException,39,0,0,0,10,0,5,0,5,0
NanoHttpd-Websocket,org.nanohttpd.protocols.websockets,CloseFrame,9,102,5,5,1,18,5,6,0,6
NanoHttpd-Websocket,org.nanohttpd.protocols.websockets,NanoWSD,17,273,4,21,5,50,5,18,1,9
NanoHttpd-Websocket,org.nanohttpd.protocols.websockets,State,9,59,0,0,0,6,2,2,2,2
NanoHttpd-Websocket,org.nanohttpd.protocols.websockets,OpCode,7,121,3,7,1,15,4,8,1,6
NanoHttpd-Websocket,org.nanohttpd.protocols.websockets,WebSocket.new Response() {...},0,35,0,0,0,8,0,2,0,2
NanoHttpd-Websocket,org.nanohttpd.protocols.websockets,CloseCode,9,171,2,2,1,20,3,5,1,5
NanoHttpd-Websocket,org.nanohttpd.protocols.websockets,WebSocket,218,178,28,16,46,52,28,10,8,8
NanoHttpd-Websocket,org.nanohttpd.samples.websockets,DebugWebSocketServer,0,18,0,0,0,5,0,3,0,3
NanoHttpd-Websocket,org.nanohttpd.samples.websockets,EchoSocketSample,6,42,3,3,2,9,4,1,1,1
NanoHttpd-Websocket,org.nanohttpd.samples.websockets,DebugWebSocketServer.DebugWebSocket,40,84,9,7,7,18,10,6,2,6
